Year,Month,Day,Return
1974,8,12,-1.3727
1974,8,13,-1.5799
1974,8,14,-2.2423
1974,8,15,-0.5604
1974,8,16,-0.8257
1974,8,19,-1.4537
1974,8,20,0.5096
1974,8,21,-1.9213
1974,8,22,-0.9659
1974,8,23,-1.717
1974,8,26,0.8526
1974,8,27,-1.6907
1974,8,28,-0.2537
1974,8,29,-1.0882
1974,8,30,3.0862
1974,9,3,-2.2592
1974,9,4,-2.595
1974,9,5,3.1737
1974,9,6,0.7761
1974,9,9,-2.3803
1974,9,10,-0.6885
1974,9,11,-0.9965
1974,9,12,-2.6842
1974,9,13,-2.2635
1974,9,16,1.6258
1974,9,17,1.6903
1974,9,18,0.5046
1974,9,19,3.4997
1974,9,20,0.0713
1974,9,23,-1.0265
1974,9,24,-2.0167
1974,9,25,-0.6616
1974,9,26,-1.6427
1974,9,27,-2.2871
1974,9,30,-2.1558
1974,10,1,-0.2361
1974,10,2,-0.0158
1974,10,3,-1.7356
1974,10,4,0.0963
1974,10,7,4.1867
1974,10,8,-0.1694
1974,10,9,4.5959
1974,10,10,2.9047
1974,10,11,1.9344
1974,10,14,2.2491
1974,10,15,-1.7872
1974,10,16,-1.5538
1974,10,17,1.1944
1974,10,18,1.5596
1974,10,21,1.6879
1974,10,22,-0.5034
1974,10,23,-2.8716
1974,10,24,-1.1404
1974,10,25,-0.1424
1974,10,28,-0.0428
1974,10,29,3.9093
1974,10,30,2.0321
1974,10,31,-0.5517
1974,11,1,-0.0271
1974,11,4,-1.0828
1974,11,5,2.7778
1974,11,6,-0.4793
1974,11,7,0.6154
1974,11,8,-0.3989
1974,11,11,0.3204
1974,11,12,-1.9694
1974,11,13,-0.4344
1974,11,14,-0.3954
1974,11,15,-1.574
1974,11,18,-3.6713
1974,11,19,-1.5447
1974,11,20,-0.4399
1974,11,21,0.4124
1974,11,22,1.056
1974,11,25,-0.1016
1974,11,26,0.9298
1974,11,27,0.6766
1974,11,29,0.0429
1974,12,2,-2.6583
1974,12,3,-1.3801
1974,12,4,0.3573
1974,12,5,-1.8988
1974,12,6,-1.6936
1974,12,9,0.9076
1974,12,10,2.561
1974,12,11,0.5797
1974,12,12,-0.3251
1974,12,13,-0.5634
1974,12,16,-0.9095
1974,12,17,1.6852
1974,12,18,0.4735
1974,12,19,-0.3682
1974,12,20,-1.0939
1974,12,23,-1.4198
1974,12,24,1.3948
1974,12,26,0.8373
1974,12,27,-0.4448
1974,12,30,0.0298
1974,12,31,2.0846
1975,1,2,2.4358
1975,1,3,0.6835
1975,1,6,0.5091
1975,1,7,-0.0704
1975,1,8,-1.3799
1975,1,9,1.6134
1975,1,10,2.0233
1975,1,13,-0.4132
1975,1,14,-0.8712
1975,1,15,0.6417
1975,1,16,-0.1248
1975,1,17,-1.5128
1975,1,20,0.1691
1975,1,21,-0.5346
1975,1,22,1.471
1975,1,23,0.46
1975,1,24,1.2627
1975,1,27,3.2749
1975,1,28,0.8757
1975,1,29,1.6178
1975,1,30,-1.359
1975,1,31,1.0104
1975,2,3,1.0912
1975,2,4,-0.2699
1975,2,5,1.7266
1975,2,6,-0.494
1975,2,7,0.0891
1975,2,10,-0.3434
1975,2,11,0.2808
1975,2,12,1.7053
1975,2,13,1.3639
1975,2,14,0.6049
1975,2,18,-0.6994
1975,2,19,0.6302
1975,2,20,0.9455
1975,2,21,0.4987
1975,2,24,-1.4282
1975,2,25,-2.3453
1975,2,26,1.0562
1975,2,27,0.4977
1975,2,28,1.0152
1975,3,3,1.7649
1975,3,4,0.6383
1975,3,5,-0.7899
1975,3,6,0.953
1975,3,7,0.7289
1975,3,10,0.7711
1975,3,11,-0.6945
1975,3,12,-0.9128
1975,3,13,0.1794
1975,3,14,1.2181
1975,3,17,1.4748
1975,3,18,-1.0231
1975,3,19,-0.928
1975,3,20,-0.8655
1975,3,21,-0.2631
1975,3,24,-2.3624
1975,3,25,0.786
1975,3,26,1.8645
1975,3,27,0.311
1975,3,31,-0.5844
1975,4,1,-0.8637
1975,4,2,-0.2541
1975,4,3,-1.1161
1975,4,4,-0.7729
1975,4,7,-0.6553
1975,4,8,0.7965
1975,4,9,2.2842
1975,4,10,1.1226
1975,4,11,0.4894
1975,4,14,1.6869
1975,4,15,0.8178
1975,4,16,0.3476
1975,4,17,0.7506
1975,4,18,-1.0888
1975,4,21,1.0776
1975,4,22,-0.1605
1975,4,23,-1.1138
1975,4,24,-0.0929
1975,4,25,0.6741
1975,4,28,-0.4502
1975,4,29,-0.6842
1975,4,30,1.9383
1975,5,1,0.9164
1975,5,2,1.2713
1975,5,5,0.9639
1975,5,6,-1.5986
1975,5,7,0.4964
1975,5,8,0.5388
1975,5,9,1.0831
1975,5,12,0.0884
1975,5,13,1.0705
1975,5,14,0.7534
1975,5,15,-0.932
1975,5,16,-1.0721
1975,5,19,0.1106
1975,5,20,-0.5081
1975,5,21,-1.1214
1975,5,22,0.3705
1975,5,23,1.3312
1975,5,27,-0.265
1975,5,28,-0.6974
1975,5,29,-0.0334
1975,5,30,1.6392
1975,6,2,1.5688
1975,6,3,0.3348
1975,6,4,-0.3122
1975,6,5,0.0972
1975,6,6,-0.2266
1975,6,9,-1.3733
1975,6,10,-0.8442
1975,6,11,0.1216
1975,6,12,-0.5191
1975,6,13,0.4885
1975,6,16,1.0384
1975,6,17,-0.9622
1975,6,18,-0.2098
1975,6,19,1.8033
1975,6,20,0.6412
1975,6,23,1.0906
1975,6,24,0.6088
1975,6,25,0.4565
1975,6,26,0.2008
1975,6,27,0
1975,6,30,0.4008
1975,7,1,-0.3572
1975,7,2,-0.7064
1975,7,3,0.1911
1975,7,7,-0.869
1975,7,8,-0.1604
1975,7,9,1.5098
1975,7,10,0.0105
1975,7,11,-0.1582
1975,7,14,0.5599
1975,7,15,0.4412
1975,7,16,-1.0459
1975,7,17,-1.0358
1975,7,18,-0.4593
1975,7,21,-0.8155
1975,7,22,-1.071
1975,7,23,-1.3887
1975,7,24,-0.122
1975,7,25,-0.866
1975,7,28,-0.672
1975,7,29,-0.5638
1975,7,30,0.7257
1975,7,31,-0.0901
1975,8,1,-0.8563
1975,8,4,-0.9547
1975,8,5,-1.0557
1975,8,6,0.0232
1975,8,7,0.058
1975,8,8,-0.3244
1975,8,11,0.6161
1975,8,12,0.6586
1975,8,13,-1.32
1975,8,14,-0.4304
1975,8,15,0.8879
1975,8,18,-0.1853
1975,8,19,-1.4501
1975,8,20,-2.0365
1975,8,21,-0.1802
1975,8,22,1.4566
1975,8,25,0.9255
1975,8,26,-1.2932
1975,8,27,0.5598
1975,8,28,2.3333
1975,8,29,0.5556
1975,9,2,-1.6114
1975,9,3,0.6434
1975,9,4,0.1976
1975,9,5,-0.6729
1975,9,8,0.3153
1975,9,9,-1.5019
1975,9,10,-0.9574
1975,9,11,-0.4058
1975,9,12,-0.1797
1975,9,15,-0.5042
1975,9,16,-0.9532
1975,9,17,0.3411
1975,9,18,2.0517
1975,9,19,2.1651
1975,9,22,-0.9432
